"Alterskategorie","Bezirk","Jahr10","Jahr22","differenz_durchschnittsalter"
"Erwachsene jünger 65","Bezirk Affoltern",42.0028045127159,42.8113066697292,0.808502157013329
"Erwachsene jünger 65","Bezirk Andelfingen",42.0611117015623,43.5614293702028,1.50031766864048
"Erwachsene jünger 65","Bezirk Bülach",40.7378409232195,41.2904673682602,0.552626445040701
"Erwachsene jünger 65","Bezirk Dielsdorf",41.0207016376474,41.9152624056902,0.894560768042759
"Erwachsene jünger 65","Bezirk Dietikon",40.7415236420626,40.9306039581801,0.189080316117526
"Erwachsene jünger 65","Bezirk Hinwil",41.1951300808729,42.2161024495281,1.02097236865513
"Erwachsene jünger 65","Bezirk Horgen",41.7604338631557,42.4592303822938,0.698796519138021
"Erwachsene jünger 65","Bezirk Meilen",42.8111101702092,43.5667380774963,0.755627907287113
"Erwachsene jünger 65","Bezirk Pfäffikon",41.6771931746597,42.5747918834547,0.897598708795044
"Erwachsene jünger 65","Bezirk Uster",41.176313063689,41.9151756585048,0.738862594815799
"Erwachsene jünger 65","Bezirk Winterthur",40.3495943882896,41.2790522452887,0.929457856999058
"Erwachsene jünger 65","Bezirk Zürich",39.5661443918,39.8123915687206,0.246247176920612
"Erwachsene älter/gleich 65","Bezirk Affoltern",73.5985517740768,74.8169188314778,1.21836705740103
"Erwachsene älter/gleich 65","Bezirk Andelfingen",74.4413733534874,75.038449754902,0.597076401414597
"Erwachsene älter/gleich 65","Bezirk Bülach",74.1412423465383,75.2503748687959,1.10913252225764
"Erwachsene älter/gleich 65","Bezirk Dielsdorf",73.7244576125394,74.7970995810506,1.07264196851118
"Erwachsene älter/gleich 65","Bezirk Dietikon",74.5533959379777,75.9307843619375,1.37738842395981
"Erwachsene älter/gleich 65","Bezirk Hinwil",74.5287625173598,75.1446701833185,0.615907665958702
"Erwachsene älter/gleich 65","Bezirk Horgen",74.7159481743227,75.9921250541402,1.27617687981751
"Erwachsene älter/gleich 65","Bezirk Meilen",75.0797772715768,76.3696889307261,1.2899116591493
"Erwachsene älter/gleich 65","Bezirk Pfäffikon",73.9406195207481,75.0484383919106,1.10781887116252
"Erwachsene älter/gleich 65","Bezirk Uster",73.7700374531835,75.5963036197086,1.82626616652513
"Erwachsene älter/gleich 65","Bezirk Winterthur",74.9506132989025,75.5993149578311,0.648701658928601
"Erwachsene älter/gleich 65","Bezirk Zürich",76.4308051790087,76.2105801881428,-0.220224990865901
"Minderjährig","Bezirk Affoltern",8.64047691837359,8.55445030706686,-0.086026611306723
"Minderjährig","Bezirk Andelfingen",8.93038601121742,8.76239600665557,-0.167990004561846
"Minderjährig","Bezirk Bülach",8.48730295921307,8.30128140108868,-0.186021558124388
"Minderjährig","Bezirk Dielsdorf",8.65700483091787,8.38094414663669,-0.27606068428118
"Minderjährig","Bezirk Dietikon",8.35553561568194,8.12830188679245,-0.227233728889491
"Minderjährig","Bezirk Hinwil",8.77156027541137,8.48339342292145,-0.288166852489919
"Minderjährig","Bezirk Horgen",8.43953611472018,8.44940964250574,0.0098735277855635
"Minderjährig","Bezirk Meilen",8.45875836349676,8.73705639891424,0.27829803541748
"Minderjährig","Bezirk Pfäffikon",8.60409269295459,8.59399284030385,-0.0100998526507379
"Minderjährig","Bezirk Uster",8.45879302008703,8.48310069008783,0.0243076700008
"Minderjährig","Bezirk Winterthur",8.43442020102966,8.41869894099849,-0.0157212600311762
"Minderjährig","Bezirk Zürich",7.67328202308961,7.88165885322755,0.208376830137942
